City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Yurla,RU,59.33,54.32,73.51,57,100,4.81,overcast clouds
84,Bredasdorp,ZA,-34.53,20.04,50.4,80,44,5.12,scattered clouds
85,Tasiilaq,GL,65.61,-37.64,51.96,76,100,4.59,overcast clouds
86,Pavlohrad,UA,48.52,35.87,75.99,58,99,7.56,overcast clouds
87,Salalah,OM,17.02,54.09,78.01,95,100,10.69,overcast clouds
88,Cherskiy,RU,68.75,161.30,61.61,61,70,19.19,broken clouds
89,Xai-Xai,MZ,-25.05,33.64,67.8,76,82,12.62,light rain
90,Mandalgovi,MN,45.76,106.27,71.62,34,5,17.67,clear sky
91,Abha,SA,18.22,42.51,79.05,26,0,6.91,clear sky
92,Catuday,PH,16.29,119.81,84.24,73,54,8.68,broken clouds
93,Airai,TL,-8.93,125.41,68.74,57,98,4.03,overcast clouds
94,Kaitangata,NZ,-46.28,169.85,42.94,71,25,10.96,scattered clouds
95,Progreso,MX,21.28,-89.67,81.1,88,13,8.95,few clouds
96,Hilo,US,19.73,-155.09,77.29,96,100,5.75,overcast clouds
97,Longyearbyen,SJ,78.22,15.64,55.24,67,40,4.61,scattered clouds
98,Cape Town,ZA,-33.93,18.42,60.12,78,0,1.14,clear sky
99,Ladario,BR,-19.00,-57.60,76.62,46,100,3.67,overcast clouds
100,Hay River,CA,60.82,-115.80,57.18,88,95,1.14,light rain
101,Pangnirtung,CA,66.15,-65.71,53.69,56,0,2.37,clear sky
102,Arlit,NE,18.74,7.39,84.2,51,100,14.27,overcast clouds
103,Avanigadda,IN,16.02,80.92,92.44,47,100,11.83,overcast clouds
104,Ancud,CL,-41.87,-73.82,39.22,84,78,4.61,broken clouds
105,Matara,LK,5.95,80.54,86.18,64,19,13.35,few clouds
106,Vandra,EE,58.65,25.04,60.46,77,100,9.86,overcast clouds
107,Namatanai,PG,-3.67,152.43,82.63,74,18,7.07,light rain
108,Khatanga,RU,71.97,102.50,66.83,38,85,4.52,overcast clouds
109,Eirunepe,BR,-6.66,-69.87,72.82,92,69,1.86,broken clouds
110,Lucapa,AO,-8.42,20.74,73.49,33,70,9.55,broken clouds
111,Balkhash,KZ,46.84,74.98,92.01,25,0,13.42,clear sky
112,Vao,NC,-22.67,167.48,68.92,59,0,21.36,clear sky
113,Mar Del Plata,AR,-38.00,-57.56,50.88,92,100,12.66,light rain
114,Tabou,CI,4.42,-7.35,74.59,89,100,7.67,light rain
115,Georgetown,MY,5.41,100.34,89.53,77,40,12.66,scattered clouds
116,Asau,RO,46.43,26.40,69.28,58,28,2.89,scattered clouds
117,Voh,NC,-20.97,164.70,66.15,67,0,12.17,clear sky
118,Klaksvik,FO,62.23,-6.59,50.92,91,100,15.95,light rain
119,Barrow,US,71.29,-156.79,35.62,80,100,8.05,overcast clouds
120,Tuktoyaktuk,CA,69.45,-133.04,42.57,66,21,12.15,few clouds
121,Hamilton,US,39.18,-84.53,71.73,91,100,1.01,overcast clouds
122,Bowen,AU,-20.02,148.23,68.68,70,0,17.78,clear sky
123,Bandarbeyla,SO,9.49,50.81,85.57,50,89,34.43,overcast clouds
124,Leshukonskoye,RU,64.90,45.76,65.01,91,100,4.32,overcast clouds
125,Grindavik,IS,63.84,-22.43,51.75,100,100,6.91,light intensity drizzle
126,Victor Harbor,AU,-35.57,138.62,57.0,79,62,5.01,broken clouds
127,Constitucion,CL,-35.33,-72.42,44.56,89,100,0.87,overcast clouds
128,Whitehorse,CA,60.72,-135.05,57.97,78,75,10.36,broken clouds
129,Solnechnyy,RU,50.72,136.63,80.33,39,65,6.33,broken clouds
130,Galle,LK,6.04,80.22,82.69,74,34,12.39,scattered clouds
131,Bilma,NE,18.69,12.92,85.98,47,14,6.02,few clouds
132,Hobart,AU,-42.88,147.33,55.26,67,75,16.11,broken clouds
133,Deer Lake,CA,49.17,-57.43,46.26,93,20,0.0,few clouds
134,Buka,UZ,40.81,69.20,101.59,11,0,4.65,clear sky
135,Arraial Do Cabo,BR,-22.97,-42.03,70.41,87,16,24.72,few clouds
136,Dikson,RU,73.51,80.55,41.92,87,74,4.99,broken clouds
137,West Plains,US,36.73,-91.85,81.43,61,100,5.75,overcast clouds
138,Ximei,CN,24.96,118.38,94.5,60,100,8.77,overcast clouds
139,Te Anau,NZ,-45.42,167.72,39.16,92,47,3.49,scattered clouds
140,Aykhal,RU,66.00,111.50,54.55,70,100,16.96,overcast clouds
141,Lichuan,CN,30.30,108.85,89.55,44,93,1.61,overcast clouds
142,San Patricio,US,28.02,-97.52,83.89,82,53,13.11,broken clouds
143,Sinnamary,GF,5.38,-52.95,75.65,89,100,3.98,overcast clouds
144,Berlevag,NO,70.86,29.09,55.4,87,100,9.22,overcast clouds
145,Jamestown,US,42.10,-79.24,64.04,69,0,0.0,clear sky
146,Nipawin,CA,53.37,-104.00,66.24,94,0,6.91,clear sky
147,Houston,US,29.76,-95.36,81.0,82,0,6.91,clear sky
148,De-Kastri,RU,51.47,140.78,67.55,64,89,7.18,overcast clouds
149,Iqaluit,CA,63.75,-68.51,53.33,81,75,13.8,broken clouds
150,Samarinda,ID,-0.50,117.15,82.67,87,68,1.43,broken clouds
151,Puerto Carreno,CO,6.19,-67.49,74.34,95,100,2.35,overcast clouds
152,Zhangye,CN,38.93,100.45,68.74,43,100,10.29,overcast clouds
153,Aklavik,CA,68.22,-135.01,56.35,53,83,8.86,broken clouds
154,Bethel,US,41.37,-73.41,68.63,86,40,0.0,scattered clouds
155,Torbay,CA,47.67,-52.73,60.58,91,100,17.27,light intensity shower rain
